title,,,,
text,align,,,
Dependancy Wheel,left,,,
xAxis,,,,
format,,,,
km,,,,
title,,,,
Dist,,,,
rangeDescription
0,15,,,
yAxis,,,,
format,,,,
m,,,,
title,,,,
height,,,,
rangeDescription,,,,
0,1000,,,
annotations,,,,
labels,,,,
0,0,27,255,Portugal
0,0,40,257,Norway
0,0,50,280,Cyprus
0,0,62,300,Iceland
series,,,,
series_no1,,,,
elevation_data,,,,
0.0,400,,,
0.1,426,,,
0.2,452,,,
0.3,478,,,
0.4,504,,,
0.5,530,,,
0.6,556,,,
0.7,582,,,
0.8,608,,,
0.9,634,,,
1.0,660,,,
1.1,686,,,
1.2,712,,,
1.3,738,,,
1.4,764,,,
1.5,790,,,
1.6,816,,,
1.7,842,,,
1.8,868,,,
1.9,894,,,
2.0,920,,,
2.1,946,,,
2.2,972,,,
2.3,998,,,
2.4,750,,,
2.5,777,,,
2.6,700,,,
2.7,764,,,
2.8,790,,,
2.9,566,,,
3.0,665,,,
3.1,868,,,
3.2,894,,,
3.3,920,,,
3.4,946,,,
3.5,972,,,
3.6,998,,,
3.7,967,,,
3.8,936,,,
3.9,905,,,
4.0,874,,,
4.1,843,,,
4.2,812,,,
4.3,781,,,
4.4,750,,,
4.5,719,,,
4.6,688,,,
4.7,657,,,
4.8,626,,,
4.9,595,,,
5.0,564,,,
5.1,533,,,
5.2,502,,,
5.3,471,,,
5.4,300,,,
5.5,369,,,
5.6,438,,,
5.7,507,,,
5.8,576,,,
5.9,645,,,
6.0,714,,,  
6.1,783,,,
6.2,852,,,
6.3,921,,,
6.4,906,,,
6.5,891,,,
6.6,876,,,
6.7,861,,,
6.8,846,,,
6.9,831,,,
7.0,816,,,
7.1,801,,,
7.2,786,,,
7.3,771,,,
7.4,756,,,
7.5,741,,,
7.6,726,,,
7.7,711,,,
7.8,696,,,
7.9,681,,,
8.0,666,,,
8.1,651,,,
8.2,636,,,
8.3,621,,,
8.4,606,,,
8.5,591,,,
8.6,576,,,
8.7,561,,,
8.8,546,,,
8.9,531,,,
9.0,516,,,
9.1,540,,,
9.2,564,,,
9.3,588,,,
9.4,612,,,
9.5,636,,,
9.6,660,,,
9.7,684,,,
9.8,708,,,
9.9,732,,,
10.0,756,,,
10.1,780,,,
10.2,804,,,
10.3,828,,,
10.4,852,,,
10.5,876,,,
10.6,900,,,
10.7,924,,,
10.8,948,,,
10.9,972,,,
11.0,996,,,
series,,,,
series_no2,,,,
elevation_data,,,,
0.0,649,,,
0.1,685,,,
0.2,672,,,
0.3,485,,,
0.4,498,,,
0.5,732,,,
0.6,368,,,
0.7,351,,,
0.8,526,,,
0.9,986,,,
1.0,388,,,
1.1,628,,,
1.2,817,,,
1.3,512,,,
1.4,471,,,
1.5,676,,,
1.6,447,,,
1.7,725,,,
1.8,743,,,
1.9,495,,,
2.0,737,,,
2.1,571,,,
2.2,623,,,
2.3,403,,,
2.4,880,,,
2.5,308,,,
2.6,999,,,
2.7,363,,,
2.8,437,,,
2.9,168,,,
3.0,319,,,
3.1,827,,,
3.2,919,,,
3.3,809,,,
3.4,899,,,
3.5,385,,,
3.6,591,,,
3.7,573,,,
3.8,434,,,
3.9,359,,,
4.0,199,,,
4.1,375,,,
4.2,486,,,
4.3,972,,,
4.4,611,,,
4.5,234,,,
4.6,201,,,
4.7,714,,,
4.8,915,,,
4.9,219,,,
5.0,614,,,
5.1,292,,,
5.2,673,,,
5.3,228,,,
5.4,100,,,
5.5,830,,,
5.6,703,,,
5.7,720,,,
5.8,125,,,
5.9,855,,,
6.0,161,,,
6.1,531,,,
6.2,461,,,
6.3,692,,,
6.4,774,,,
6.5,750,,,
6.6,814,,,
6.7,889,,,
6.8,183,,,
6.9,202,,,
7.0,537,,,
7.1,872,,,
7.2,248,,,
7.3,538,,,
7.4,563,,,
7.5,972,,,
7.6,300,,,
7.7,233,,,
7.8,336,,,
7.9,334,,,
8.0,225,,,
8.1,680,,,
8.2,341,,,
8.3,666,,,
8.4,125,,,
8.5,688,,,
8.6,438,,,
8.7,698,,,
8.8,146,,,
8.9,811,,,
9.0,463,,,
9.1,852,,,
9.2,155,,,
9.3,202,,,
9.4,720,,,
9.5,915,,,
9.6,174,,,
9.7,718,,,
9.8,890,,,
9.9,712,,,
10.0,422,,,
10.1,312,,,
10.2,675,,,
10.3,592,,,
10.4,136,,
