series,
COVID-19,Influenza
COVID-19,Common Cold
COVID-19,SARS
COVID-19,MERS
COVID-19,Pneumonia
Influenza,H1N1
Influenza,H3N2
Influenza,H5N1
Influenza,H7N9
Influenza,H9N2
Common Cold,Rhinovirus
Common Cold,Coronavirus
Common Cold,Adenovirus
Common Cold,Enterovirus
SARS,Severe Acute Respiratory Syndrome
MERS,Middle East Respiratory Syndrome
Pneumonia,Bacterial Pneumonia
Pneumonia,Viral Pneumonia
Pneumonia,Fungal Pneumonia
H1N1,Swine Flu
H3N2,Seasonal Influenza
H5N1,Avian Flu
H7N9,Avian Flu
H9N2,Avian Flu
Rhinovirus,Common Cold
Rhinovirus,Bronchitis
Rhinovirus,Sinusitis
Rhinovirus,Asthma
Coronavirus,Common Cold
Coronavirus,SARS-CoV-2
Coronavirus,MERS-CoV
Coronavirus,HCoV-229E
Severe Acute Respiratory Syndrome,SARS-CoV
Middle East Respiratory Syndrome,MERS-CoV
Bacterial Pneumonia,Streptococcus pneumoniae
Bacterial Pneumonia,Klebsiella pneumoniae
Bacterial Pneumonia,Legionella pneumophila
Viral Pneumonia,Respiratory Syncytial Virus (RSV)
Viral Pneumonia,Influenza Virus
Viral Pneumonia,Measles
Fungal Pneumonia,Pneumocystis jirovecii
Fungal Pneumonia,Aspergillus fumigatus
Fungal Pneumonia,Cryptococcus neoformans
Swine Flu,H1N1 Influenza
Seasonal Influenza,H3N2 Influenza
Avian Flu,H5N1 Influenza
Avian Flu,H7N9 Influenza
Avian Flu,H9N2 Influenza
Bronchitis,Respiratory Infection
Bronchitis,Chronic Obstructive Pulmonary Disease (COPD)
Sinusitis,Upper Respiratory Infection
Sinusitis,Allergic Rhinitis
Asthma,Chronic Respiratory Disease
Asthma,Allergy
Streptococcus pneumoniae,Pneumococcal Disease
Streptococcus pneumoniae,Meningitis
Legionella pneumophila,Legionnaires' Disease
Respiratory Syncytial Virus (RSV),Bronchiolitis
Respiratory Syncytial Virus (RSV),Pneumonia
Respiratory Syncytial Virus (RSV),Croup
Measles,Viral Infection
Measles,Rubeola
Measles,Koplik Spots
Pneumocystis jirovecii,Pneumocystis Pneumonia (PCP)
Pneumocystis jirovecii,HIV/AIDS
Aspergillus fumigatus,Aspergillosis
Aspergillus fumigatus,Allergic Bronchopulmonary Aspergillosis (ABPA)
Cryptococcus neoformans,Cryptococcal Meningitis
Cryptococcus neoformans,HIV/AIDS
end,
title,
text,align
Disease Relationships,center
Subtitle,
text,align
A Network Graph Showing Connections Between Diseases,center
