title,,,,
text,align,,,
Rain in London,left,,
xAxis,,,,
format,,,,
 ,,,,
title,,,,
Day of the Year 2022,,,,
rangeDescription
1,365,,,
yAxis,,,,
format,,,,
mm,,,,
title,,,,
Amount of rainfall,,,,
rangeDescription
0,9,,,
annotations,,,,
labels,,,,
0,0,60,3,Spring
0,0,152,3,Summmer
0,0,244,3,Automn
series,,,,
Rain,,,,
elevation_data,,,,
1,2.3,,,
2,1.8,,,
3,2.5,,,
4,3.1,,,
5,1.2,,,
6,0.8,,,
7,1.5,,,
8,0.9,,,
9,1.6,,,
10,1.2,,,
11,0.7,,,
12,0.4,,,
13,1.1,,,
14,0.6,,,
15,0.9,,,
16,0.3,,,
17,0.7,,,
18,0.5,,,
19,0.2,,,
20,0.4,,,
21,0.8,,,
22,1.0,,,
23,0.6,,,
24,0.3,,,
25,0.2,,,
26,0.1,,,
27,0.4,,,
28,0.2,,,
29,0.3,,,
30,0.5,,,
31,0.7,,,
32,0.9,,,
33,0.8,,,
34,1.2,,,
35,1.5,,,
36,2.0,,,
37,1.7,,,
38,2.1,,,
39,2.5,,,
40,2.3,,,
41,2.7,,,
42,3.0,,,
43,2.8,,,
44,3.1,,,
45,3.5,,,
46,3.3,,,
47,3.7,,,
48,3.6,,,
49,3.4,,,
50,3.2,,,
51,2.9,,,
52,2.5,,,
53,2.2,,,
54,2.0,,,
55,2.4,,,
56,2.1,,,
57,2.5,,,
58,2.3,,,
59,2.7,,,
60,2.9,,,
61,2.6,,,
62,3.0,,,
63,2.7,,,
64,2.3,,,
65,2.1,,,
66,1.8,,,
67,1.5,,,
68,1.2,,,
69,1.0,,,
70,0.7,,,
71,0.5,,,
72,0.3,,,
73,0.6,,,
74,0.4,,,
75,0.2,,,
76,0.1,,,
77,0.3,,,
78,0.2,,,
79,0.4,,,
80,0.7,,,
81,0.5,,,
82,0.8,,,
83,0.6,,,
84,0.9,,,
85,0.7,,,
86,1.0,,,
87,1.3,,,
88,1.1,,,
89,1.4,,,
90,1.6,,,
91,1.9,,,
92,1.7,,,
93,2.0,,,
94,2.3,,,
95,2.1,,,
96,2.4,,,
97,2.7,,,
98,2.5,,,
99,2.8,,,
100,3.1,,,
101,3.3,,,
102,3.0,,,
103,3.2,,,
104,3.4,,,
105,3.6,,,
106,3.9,,,
107,4.2,,,
108,4.0,,,
109,4.3,,,
110,4.6,,,
111,4.4,,,
