series,
Rock,Pop
Rock,Blues
Rock,Metal
Rock,Punk
Rock,Alternative
Pop,Dance
Pop,R&B
Pop,Electronic
Pop,Indie Pop
Pop,Power Pop
Blues,Delta Blues
Blues,Chicago Blues
Blues,Jump Blues
Metal,Heavy Metal
Metal,Thrash Metal
Metal,Death Metal
Metal,Black Metal
Metal,Progressive Metal
Punk,Punk Rock
Punk,Hardcore Punk
Punk,Pop Punk
Punk,Post-Punk
Alternative,Indie Rock
Alternative,Grunge
Alternative,New Wave
Alternative,Post-Grunge
Dance,EDM
Dance,Hip Hop
Dance,Reggae
Dance,Disco
Dance,House
R&B,Soul
R&B,Funk
R&B,Neo-Soul
R&B,Contemporary R&B
Electronic,Techno
Electronic,Trance
Electronic,Dubstep
Electronic,Chillwave
Electronic,Electro-Pop
Indie Pop,Indie Folk
Indie Pop,Indie Electronic
Indie Pop,Chamber Pop
Indie Pop,Dream Pop
Power Pop,Glam Rock
Power Pop,Pop Rock
Power Pop,Mod Revival
Power Pop,Neo Power Pop
end,
title,
text,align
Music Genre Connections,center
Subtitle,
text,align
A Network Graph Showing Relationships Between Music Genres,center
