series,
Python,JavaScript
Python,Java
Python,C++
Python,Go
Python,Ruby
JavaScript,HTML/CSS
JavaScript,TypeScript
JavaScript,Node.js
JavaScript,React
JavaScript,Vue.js
Java,Scala
Java,Kotlin
Java,Groovy
Java,Android
C++,C#
C++,Objective-C
C++,Rust
C++,Swift
Go,Rust
Go,GoLang
Go,WebAssembly
Ruby,Ruby on Rails
Ruby,Crystal
Ruby,Elixir
Ruby,Perl
HTML/CSS,Sass
HTML/CSS,LESS
HTML/CSS,Bootstrap
HTML/CSS,Materialize
TypeScript,Angular
TypeScript,React
TypeScript,Vue.js
Node.js,Express.js
Node.js,Socket.IO
Node.js,Nest.js
Node.js,Koa.js
React,Redux
React,Next.js
React,Gatsby
React,React Native
Vue.js,Vuex
Vue.js,Nuxt.js
Vue.js,Quasar
Vue.js,Element UI
Scala,Akka
Scala,Play Framework
Scala,Spark
Scala,Lift
Kotlin,Android
Kotlin,Ktor
Kotlin,Exposed
Kotlin,Gradle
C#,ASP.NET
C#,Unity
C#,WPF
C#,Xamarin
Objective-C,iOS
Objective-C,Cocoa
Objective-C,Swift
Objective-C,React Native
Rust,Actix
Rust,Rocket
Rust,Tokio
Rust,WebAssembly
Swift,iOS
Swift,macOS
Swift,UIKit
Swift,SpriteKit
end,
title,
text,align
Programming Language Relationships,center
Subtitle,
text,align
A Network Graph Showing Connections Between Programming Languages,center
