title,,,,
text,align,,,
Temperature in New York,centre,,,
xAxis,,,,
format,,,,
Date,,,,
title,,,,
Year 2022,,,,
rangeDescription,,,,
1,365,,,
yAxis,,,,
format,,,,
°F,,,,
title,,,,
Temperature,,,,
rangeDescription,,,,
0,136,,,
annotations,,,,
labels,,,,
0,0,60,60,Spring
0,0,152,80,Summmer
0,0,244,40,Automn
0,0,335,30,Winter
series,,,,
Temperature,,,,
elevation_data,,,,1,32,,,
2,34,,,
3,37,,,
4,41,,,
5,46,,,
6,51,,,
7,57,,,
8,59,,,
9,54,,,
10,48,,,
11,41,,,
12,36,,,
13,34,,,
14,39,,,
15,45,,,
16,50,,,
17,55,,,
18,61,,,
19,66,,,
20,70,,,
21,72,,,
22,71,,,
23,67,,,
24,61,,,
25,55,,,
26,49,,,
27,44,,,
28,42,,,
29,47,,,
30,53,,,
31,58,,,
32,63,,,
33,68,,,
34,72,,,
35,75,,,
36,76,,,
37,75,,,
38,71,,,
39,65,,,
40,59,,,
41,53,,,
42,49,,,
43,45,,,
44,43,,,
45,48,,,
46,54,,,
47,60,,,
48,65,,,
49,70,,,
50,74,,,
51,77,,,
52,79,,,
53,78,,,
54,75,,,
55,70,,,
56,65,,,
57,60,,,
58,55,,,
59,51,,,
60,47,,,
61,46,,,
62,50,,,
63,55,,,
64,60,,,
65,65,,,
66,70,,,
67,74,,,
68,78,,,
69,81,,,
70,82,,,
71,80,,,
72,76,,,
73,70,,,
74,65,,,
75,60,,,
76,55,,,
77,51,,,
78,48,,,
79,47,,,
80,51,,,
81,55,,,
82,60,,,
83,65,,,
84,70,,,
85,74,,,
86,77,,,
87,79,,,
88,78,,,
89,75,,,
90,70,,,
91,65,,,
92,60,,,
93,55,,,
94,51,,,
95,48,,,
96,47,,,
97,51,,,
98,55,,,
99,60,,,
100,65,,,
101,70,,,
102,74,,,
103,78,,,
104,81,,,
105,82,,,
106,80,,,
107,76,,,
108,70,,,
109,65,,,
110,60,,,
111,55,,,
112,51,,,
113,48,,,
114,47,,,
115,51,,,
116,55,,,
117,60,,,
118,65,,,
119,70,,,
120,74,,,
121,78,,,
122,81,,,
123,82,,,
124,80,,,
125,76,,,
126,70,,,
127,65,,,
128,60,,,
129,55,,,
130,51,,,
131,48,,,
132,47,,,
133,51,,,
134,55,,,
135,60,,,
136,65,,,
137,70,,,
138,74,,,
139,78,,,
140,81,,,
141,82,,,
142,80,,,
143,76,,,
144,70,,,
145,65,,,
146,60,,,
147,55,,,
148,51,,,
149,48,,,
150,47,,,
151,51,,,
152,55,,,
153,60,,,
154,65,,,
155,70,,,
156,74,,,
157,78,,,
158,81,,,
159,82,,,
160,80,,,
161,76,,,
162,70,,,
163,65,,,
164,60,,,
165,55,,,
166,51,,,
167,48,,,
168,47,,,
169,51,,,
170,55,,,
171,60,,,
172,65,,,
173,70,,,
174,74,,,
175,78,,,
176,81,,,
177,82,,,
178,80,,,
179,76,,,
180,70,,,
181,65,,,
182,60,,,
183,55,,,
184,51,,,
185,48,,,
186,47,,,
187,51,,,
188,55,,,
189,60,,,
190,65,,,
191,70,,,
192,74,,,
193,78,,,
194,81,,,
195,82,,,
196,80,,,
197,76,,,
198,70,,,
199,65,,,
200,60,,,
201,55,,,
202,51,,,
203,48,,,
204,47,,,
205,51,,,
206,55,,,
207,60,,,
208,65,,,
209,70,,,
210,74,,,
211,78,,,
212,81,,,
213,82,,,
214,80,,,
215,76,,,
216,70,,,
217,65,,,
218,60,,,
219,55,,,
220,51,,,
221,48,,,
222,47,,,
223,51,,,
224,55,,,
225,60,,,
226,65,,,
227,70,,,
228,74,,,
229,78,,,
230,81,,,
231,82,,,
232,80,,,
233,76,,,
234,70,,,
235,65,,,
236,60,,,
237,55,,,
238,51,,,
239,48,,,
240,47,,,
241,51,,,
242,55,,,
243,60,,,
244,65,,,
245,70,,,
246,74,,,
247,78,,,
248,81,,,
249,82,,,
250,80,,,
251,76,,,
252,70,,,
253,65,,,
254,60,,,
255,55,,,
256,51,,,
257,48,,,
258,47,,,
259,51,,,
260,55,,,
261,60,,,
262,65,,,
263,70,,,
264,74,,,
265,78,,,
266,81,,,
267,82,,,
268,80,,,
269,76,,,
270,70,,,
271,65,,,
272,60,,,
273,55,,,
274,51,,,
275,48,,,
276,47,,,
277,51,,,
278,55,,,
279,60,,,
280,65,,,
281,70,,,
282,74,,,
283,78,,,
284,81,,,
285,82,,,
286,80,,,
287,76,,,
288,70,,,
289,65,,,
290,60,,,
291,55,,,
292,51,,,
293,48,,,
294,47,,,
295,51,,,
296,55,,,
297,60,,,
298,65,,,
299,70,,,
300,74,,,
301,78,,,
302,81,,,
303,82,,,
304,80,,,
305,76,,,
306,70,,,
307,65,,,
308,60,,,
309,55,,,
310,51,,,
311,48,,,
312,47,,,
313,51,,,
314,55,,,
315,60,,,
316,65,,,
317,70,,,
318,74,,,
319,78,,,
320,81,,,
321,82,,,
322,80,,,
323,76,,,
324,70,,,
325,65,,,
326,60,,,
327,55,,,
328,51,,,
329,48,,,
330,47,,,
331,51,,,
332,55,,,
333,60,,,
334,65,,,
335,70,,,
336,74,,,
337,78,,,
338,81,,,
339,82,,,
340,80,,,
341,76,,,
342,70,,,
343,65,,,
344,60,,,
345,55,,,
346,51,,,
347,48,,,
348,47,,,
349,51,,,
350,55,,,
351,60,,,
352,65,,,
353,70,,,
354,74,,,
355,78,,,
356,81,,,
357,82,,,
358,80,,,
359,76,,,
360,70,,,
361,65,,,
362,60,,,
363,55,,,
364,51,,,
365,48,,,
